BCM4987s001r_VAxg_01	BCM4987s002r_VAxg_01	BCM4987s003r_VAxg_01	BCM4987s004r_VAxg_01	BCM4987s005r_VAxg_01	BCM4987s006r_VAxg_01	BCM4987s007r_VAxg_01	BCM4987s008r_VAxg_01	BCM4987s009r_VAxg_01	BCM4987s010r_VAxg_01	BCM4987s011r_VAxg_01	BCM4987s012r_VAxg_01
FBXO16	177	213	113	124	111	108	142	77	107	100	88	85
TSPAN4	530	500	276	338	314	194	305	226	397	275	318	241
CPNE1	15026	15112	9407	8955	8160	8017	10693	6002	12288	9600	8827	6242
ARL16	463	514	351	316	320	329	388	228	419	315	366	274
SMCO1	2	0	1	0	1	0	0	0	0	2	0	0
WEE2	17	17	9	6	8	9	11	7	7	12	11	8
MAGEB1	56	36	17	14	32	16	31	28	23	16	15	15
LYRM4	165	126	87	96	80	69	113	66	122	99	102	79
MYCBP	9	6	4	7	6	7	7	7	7	5	11	2
TMEM213	1	0	8	0	0	6	4	0	0	0	2	2
PRCD	4	12	3	2	2	4	0	1	3	4	0	2
ALG3	1372	1434	916	929	973	922	1222	733	1382	1088	1132	765
ZNF788	159	153	59	89	112	63	98	54	130	103	75	81
SH3D21	905	846	755	503	484	593	562	253	771	527	394	257
LINC00998	76	74	65	48	55	40	74	35	66	67	52	43
C19orf38	1	0	0	1	1	1	2	0	3	0	2	0
C12orf74	24	27	13	8	7	5	19	6	16	8	5	10
IQCJ	0	0	0	0	0	1	0	0	0	0	0	0
C17orf67	3	5	6	2	0	3	7	2	6	2	5	0
MINDY4B	1	0	0	0	0	0	2	1	1	0	2	1
FIS1	884	1014	531	615	582	599	734	425	795	604	672	567
RP11-701H24.9	143	127	97	100	90	59	100	68	116	120	76	92
ANG	394	490	253	276	215	153	419	146	269	255	145	164
SCART1	59	49	54	15	24	35	28	11	20	21	19	12
NPS	0	0	0	0	0	0	0	0	0	0	0	0
COLCA2	43	54	16	9	29	11	54	22	18	25	13	9
SPDYE3	397	375	238	252	212	230	293	115	210	251	181	149
MBLAC1	24	16	10	15	18	9	17	11	26	16	21	11
FOXI3	2	0	4	0	4	0	2	2	1	0	3	1
SOGA3	1	0	0	0	0	0	0	0	0	0	0	0
NEURL1B	1268	1308	1074	844	571	803	937	385	1031	516	671	539
EFCAB9	3	2	2	0	0	0	2	0	3	1	0	0
HAUS3	492	516	284	326	310	271	350	247	513	386	417	388
VSTM5	39	22	4	10	19	10	24	18	20	16	22	15
LCNL1	1	0	1	0	0	0	0	0	1	0	0	0
BBIP1	267	307	188	188	194	161	250	98	245	186	161	178
TRIM77	3	5	0	0	0	0	0	0	0	0	0	0
GNAT3	0	0	0	0	0	0	0	0	0	0	0	0
AS3MT	7	8	8	8	3	5	12	3	10	7	9	3
FAM187A	0	0	0	0	0	0	0	0	0	0	0	0
PLIN5	1	5	1	1	3	0	1	1	4	1	2	1
SEC14L6	51	52	46	17	23	45	43	11	24	41	25	4
SPINK13	1	4	1	2	1	6	7	3	3	1	12	4
HIGD1C	1	3	3	1	1	1	0	0	1	0	1	0
NOTO	0	0	0	2	0	0	0	0	0	0	1	0
PPME1	1006	1097	766	671	781	661	868	466	1232	795	711	587
KRTAP2-2	0	0	0	0	0	0	0	0	0	0	0	1
STARD10	3868	4050	1755	2406	2863	1599	3209	1952	3411	2446	2619	2198
ZNF705E	10	10	12	5	9	3	8	3	12	8	4	5
NUTM2D	569	561	312	268	342	297	366	208	388	318	295	215
CPEB1	0	0	0	0	0	0	2	0	1	0	0	0
EML6	2070	2041	1346	1252	1311	1323	1538	794	1841	1102	1473	968
DEFB113	0	0	0	0	0	0	0	0	0	0	0	0
DEFB133	0	0	0	0	0	0	0	0	0	0	0	0
ZNF727	174	150	101	113	88	102	112	68	136	125	97	89
RP11-27I1.4	176	179	103	148	157	108	160	100	183	145	161	142
ZSWIM8	3937	3897	3735	2475	2670	3418	3012	1655	3806	2426	2976	1639
IQCF5	0	0	0	0	0	0	0	0	0	0	0	0
IQCF6	0	0	0	0	0	0	0	0	0	0	0	0
C10orf105	0	0	0	1	1	0	0	2	0	1	0	1
ARHGEF33	92	76	58	52	40	46	59	41	84	49	47	44
C12orf71	5	5	1	0	0	0	0	1	0	0	1	3
IFRD2	1139	1001	484	605	741	501	743	563	1056	716	838	779
CAPN14	95	43	23	29	30	31	41	24	32	33	34	25
ZBED1	2536	2756	1814	1440	1622	1542	1950	996	2152	1654	1406	1160
RP1-139D8.6	0	0	0	0	0	0	0	0	0	0	0	0
TOMM6	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPUL2	196	188	106	134	134	131	141	96	180	150	162	87
METTL12	172	167	120	90	123	88	116	54	134	102	101	75
RP11-726G1.1	0	0	0	0	0	0	0	1	0	0	0	0
MS4A18	0	0	0	0	0	0	0	0	0	0	0	0
MS4A4E	0	5	2	2	0	0	2	0	1	1	0	1
FER1L6	374	394	173	60	421	364	347	296	278	106	421	239
CDRT15L2	0	0	0	0	0	0	0	0	0	0	0	0
MTCP1	93	90	33	44	38	48	45	30	52	46	28	40
RAD51AP2	0	0	0	0	0	1	0	0	2	1	0	0
EVPLL	8	5	2	6	4	3	5	5	2	6	6	3
DCDC2C	0	0	0	0	0	0	0	0	0	0	0	0
SMTNL1	13	21	12	13	15	8	6	12	32	10	13	36
TRIM64C	0	0	0	0	0	0	0	0	0	0	0	0
U82695.5	1	0	0	0	0	0	0	0	0	0	0	1
SPATA31D1	4	0	0	0	0	0	1	0	0	0	0	0
NPIPA8	60	71	39	43	69	52	54	46	67	60	53	39
ZSWIM7	324	380	271	255	267	248	306	182	372	287	297	260
GPR33	0	0	0	0	0	0	0	0	0	1	0	0
ARHGEF28	1569	1751	927	877	1049	615	1443	519	1059	893	730	677
TBC1D26	0	0	0	0	0	0	0	0	0	0	0	0
LRRC69	55	100	50	54	53	44	53	31	68	42	62	45
ISPD	316	316	220	221	229	216	235	166	275	230	264	179
NPIPA7	34	54	36	35	64	50	48	44	52	34	40	31
GSG1L2	0	0	0	0	0	0	0	0	2	0	0	0
ACSM4	8	11	5	3	9	4	4	5	7	3	8	4
C22orf29	355	374	178	217	201	172	200	179	285	247	234	169
COL28A1	3693	3946	2456	2838	1998	2430	2997	1135	2323	2240	1941	1454
PHB2	5703	6234	3831	3664	3306	3293	4699	2572	5075	3928	3835	3097
TCP11X2	2	0	0	0	1	0	1	1	0	0	0	2
NEURL4	1528	1472	924	881	1124	914	1027	771	1501	1034	1206	872
GRID2IP	325	344	203	200	147	187	216	69	156	215	140	109
CXorf49B	2	2	1	1	2	1	2	1	2	0	1	0
UBXN2B	619	658	515	544	500	496	500	312	766	472	564	441
CXorf49	2	2	1	2	2	1	2	2	2	0	1	0
CBWD7	1068	1062	739	745	850	708	810	590	1056	803	868	787
C16orf90	1	0	2	0	1	0	1	0	0	0	0	2
PRSS41	0	0	2	0	0	1	0	0	2	0	1	0
NLRP2B	0	1	1	0	1	0	1	0	0	0	0	0
MUC5AC	77756	101408	46899	40430	39715	24653	102815	45018	117077	26399	74709	53577
MSMP	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA6B	24	29	22	13	11	9	14	10	5	6	5	11
FAM166B	83	87	48	56	58	39	55	24	65	68	40	42
PEX26	1586	1482	959	1031	1191	900	1260	786	1550	1103	1206	934
GRXCR1	0	0	0	0	0	0	0	0	0	0	0	0
C5orf49	1	2	0	2	2	1	0	0	0	0	2	0
UBE2QL1	30	28	13	20	22	5	7	5	24	12	12	9
FASTKD5	348	350	217	190	251	207	254	189	386	242	263	249
GOLGA8B	3362	3426	2839	1741	2142	2135	1973	967	2719	2225	1740	1342
KCNU1	106	86	57	71	39	52	85	25	96	29	81	44
GAGE12G	0	0	0	0	0	0	0	0	0	0	0	0
HOMEZ	214	207	139	128	157	190	210	118	174	177	132	101
GAGE10	0	1	0	0	1	0	0	0	0	0	0	0
RNF212B	2	2	1	6	4	0	4	0	3	0	0	0
DDX3X	13148	12549	8590	8048	9599	8279	10449	7124	14977	10407	11607	9959
VPS16	843	845	547	542	542	521	545	384	787	596	692	434
ZNF705D	6	0	0	0	1	0	1	4	0	0	0	0
ZNF705B	4	0	1	0	0	1	0	2	2	0	0	0
ZNF705G	1	1	0	1	3	1	1	1	0	1	1	1
MYL5	245	236	142	132	150	102	147	90	132	132	110	78
SCRT2	0	0	0	0	0	0	0	0	0	0	0	0
ZNF407	1528	1438	1103	959	1294	1058	1201	697	1426	1160	1058	930
NPEPL1	431	438	235	248	220	181	264	173	279	213	243	160
KRTAP10-4	4	4	2	1	3	0	2	1	0	3	1	0
KRTAP10-1	1	3	2	0	0	0	1	0	0	0	0	1
RPL17-C18orf32	0	1	0	0	0	0	0	0	0	0	0	0
SKOR2	0	0	0	0	0	0	0	0	0	0	0	0
SIAH3	9	15	13	9	2	2	6	5	7	6	6	1
EFCAB8	9	6	13	4	15	8	10	2	3	7	8	2
DEFB116	58	34	26	25	34	14	31	22	40	27	18	18
DEFB115	37	65	37	21	45	34	23	27	53	39	31	25
GAB4	0	1	1	0	1	0	0	0	0	0	0	1
C20orf202	0	0	0	0	0	0	0	0	0	0	0	0
HMX1	0	0	0	0	0	0	0	0	0	0	0	0
GCGR	32	39	20	19	20	12	13	6	18	18	2	3
RSC1A1	0	0	0	0	0	0	0	0	0	0	0	0
CELA2B	18	24	15	19	12	19	12	2	21	21	13	9
TMEM242	248	316	226	218	210	180	256	175	314	264	241	201
TMEM167B	103	123	87	63	73	80	88	45	95	69	66	47
FAM72D	318	288	125	229	279	107	292	244	397	219	323	253
TNFRSF25	165	188	130	98	76	46	88	63	138	61	86	87
SLC35E2	1396	1246	816	794	762	746	860	481	978	728	712	473
ZC3H11B	270	312	196	163	181	184	244	115	268	172	187	183
TSTD1	676	783	413	522	446	402	548	250	504	567	391	359
RPTN	1	0	0	0	0	0	0	0	0	0	2	0
CYB5RL	36	30	6	17	17	13	21	13	23	20	15	18
C1orf167	2	0	0	0	1	3	0	0	1	0	0	1
TTC34	49	66	41	46	31	29	32	20	44	36	41	25
ATAD3C	205	150	126	127	141	91	103	75	157	118	125	107
IFI30	2	2	0	1	1	1	3	3	0	3	3	1
IGSF23	7	10	4	6	9	6	6	3	16	7	6	2
GAGE12E	0	0	0	0	0	0	0	0	0	0	0	0
AC131097.4	21	11	10	14	15	12	9	6	11	13	5	9
CCDC7	398	365	198	245	279	244	330	136	325	269	248	216
FNIP1	1574	1723	1354	992	993	1192	1282	654	1628	1144	1111	999
SP9	267	226	130	119	195	173	175	154	241	277	164	161
SYCE3	6	4	0	0	2	2	0	1	2	0	0	1
CKLF	109	101	47	66	81	52	67	52	97	85	69	57
PAM16	78	44	59	48	47	34	23	30	65	25	36	39
TENM3	2	1	1	1	4	0	2	1	3	0	0	0
CEBPZOS	196	193	131	116	122	115	144	85	173	141	129	127
TDRD15	0	0	0	0	1	0	0	0	0	0	0	0
PAPOLB	2	1	0	0	2	0	1	0	0	1	0	0
ZNF579	79	58	56	52	39	38	61	25	61	38	32	31
CELA3B	0	0	0	0	0	0	0	0	0	0	0	0
RNASEK	87	97	68	55	66	62	85	53	64	79	65	45
TEX40	20	11	6	7	12	6	12	5	5	10	7	5
FAM19A5	137	170	103	107	44	44	76	36	69	42	58	31
NBPF1	57	45	32	25	26	24	26	23	61	34	35	31
UMAD1	180	182	147	126	152	167	185	103	206	145	151	104
PPP1R3G	48	41	52	26	31	45	36	14	40	40	24	23
FAM228B	15	29	7	16	13	22	23	6	26	15	14	5
LINGO3	1	2	7	1	0	0	0	0	1	0	0	1
ZGLP1	34	28	17	22	18	16	13	23	23	24	22	26
VAMP2	86	124	74	66	95	76	83	48	85	86	82	59
OR6B1	0	0	1	0	0	0	0	0	1	0	0	0
EBF2	0	0	0	0	0	1	0	0	1	0	0	0
C6orf226	53	55	47	36	21	33	36	19	35	25	26	30
PPP3R1	303	278	177	209	260	208	244	163	370	254	263	193
PSG3	19	16	3	3	3	9	8	9	2	5	9	4
FANCG	3750	3225	1544	2133	2519	1326	2548	1936	3435	2250	2710	2257
OR2A5	3	0	0	0	0	0	2	0	0	0	1	0
KRTAP10-9	0	4	1	0	0	0	1	0	1	0	3	0
AP4M1	235	252	167	160	158	142	168	101	194	163	144	119
OR4A5	0	0	0	0	0	0	0	0	0	0	0	0
C2orf16	391	418	235	234	304	247	307	167	265	271	239	210
KRTAP1-5	0	0	0	0	0	0	0	0	0	0	0	0
TAS2R41	1	0	1	2	2	2	3	0	3	4	0	6
OR2A12	3	2	2	1	3	0	3	0	1	1	1	0
KRTAP10-10	0	1	0	1	0	1	1	0	0	0	0	1
KRTAP12-2	0	1	0	0	0	0	3	0	0	1	0	0
PLXNA4	0	0	0	0	3	0	1	0	0	0	0	1
MAGEA3	4787	5149	2902	2976	3325	2510	3874	2321	4762	3214	3836	3034
CEBPD	79	107	65	51	79	68	65	38	132	82	76	89
TMEM257	0	0	0	0	0	0	0	0	0	0	0	0
ZNF816-ZNF321P	117	143	56	91	67	42	85	68	78	83	53	61
PSG7	108	90	35	59	55	26	58	32	58	57	50	57
KRTAP1-3	0	0	0	0	0	0	0	0	0	0	0	0
OR3A2	23	12	5	10	10	7	6	3	9	6	8	14
ARIH2OS	45	43	36	23	24	27	32	13	29	23	29	17
ZBED8	151	173	99	116	115	93	119	86	149	127	119	107
HMSD	0	0	0	0	0	0	0	0	0	0	0	0
OR1C1	1	0	0	0	0	0	0	0	0	0	0	0
NPTXR	28	22	7	12	19	6	19	9	20	10	9	11
POM121L12	0	0	0	0	0	0	0	0	0	0	0	0
FAM200A	150	186	115	119	138	116	144	69	150	154	124	107
OR2F2	0	1	0	0	0	0	0	0	0	0	0	0
PPP2R2A	1152	1254	887	780	720	816	933	554	1383	879	874	921
C19orf73	9	4	1	1	9	4	5	6	11	7	7	4
ZNF880	79	87	67	74	67	62	74	43	66	62	47	49
TRIM16	401	464	344	267	503	481	526	413	771	437	646	480
OR6X1	0	0	0	0	0	0	1	0	0	1	0	0
HEPN1	0	0	0	0	0	0	0	0	0	0	0	0
OR2A25	0	0	0	1	0	0	1	0	1	1	0	0
TAS2R40	12	14	4	7	4	7	4	7	9	2	9	4
OR2A14	5	3	8	4	3	10	2	6	6	1	8	3
TIGD1	1	0	0	0	1	0	0	2	1	0	0	0
FXYD7	7	6	6	5	6	6	3	8	14	9	6	7
XKR9	153	185	145	110	80	151	153	52	179	110	139	114
OR4C12	0	0	0	0	0	0	0	0	0	0	0	0
SLC12A8	510	438	227	307	434	248	360	299	512	378	389	319
KIR2DS4	0	0	0	0	0	0	0	0	0	0	0	0
PRR21	0	0	0	0	0	0	0	0	0	0	0	0
APOL6	445	381	289	301	457	285	390	340	893	374	603	633
FADS3	245	301	187	138	136	178	175	93	191	107	158	104
OR2A1	66	58	40	39	47	37	35	20	45	33	45	26
C3orf36	0	0	0	1	0	0	0	0	0	0	0	0
OR4E2	0	0	0	0	0	0	0	0	0	0	0	0
CCNL2	5712	5648	4267	3524	3717	3537	3795	2346	5066	3474	3594	2891
UBA52	3417	3629	2492	2357	2127	2088	2785	1414	3081	2469	2203	2161
MYBPHL	75	46	25	15	36	32	24	28	38	62	30	25
PPT2	73	60	38	49	47	37	52	27	62	37	37	37
OR2A2	10	6	2	3	3	2	5	1	2	1	2	3
ZNF630	241	231	161	138	164	149	214	88	221	194	153	139
TIAF1	5	3	1	3	1	7	2	4	6	3	8	4
OR52B4	1	0	0	0	0	0	2	0	1	0	0	0
BTBD19	167	177	147	142	128	85	111	57	112	92	75	92
FAM185A	263	294	145	233	183	175	231	115	248	193	177	190
RAB6C	17	9	7	5	7	4	10	3	4	7	7	1
C21orf140	45	25	17	15	19	12	25	10	22	20	10	16
PSMB11	0	0	0	0	0	0	0	0	1	0	0	0
POTEM	30	24	19	9	15	15	13	20	28	10	34	16
POTEJ	1019	1417	711	531	734	496	1229	367	713	837	472	492
DCDC2B	137	137	88	68	80	43	83	42	83	68	84	45
C10orf55	12	6	4	1	7	4	3	6	14	4	10	3
IGLV9-49	0	0	0	0	0	0	0	0	0	0	0	0
RP11-211G3.2	1	0	1	0	0	0	0	0	0	1	0	0
TRIM49D1	0	0	0	1	0	0	0	0	0	0	1	0
USP17L2	105	95	63	46	114	109	64	44	108	124	65	39
EXOSC6	102	115	80	81	89	76	85	65	126	66	66	67
VPS52	1665	1634	1083	1029	1122	950	1224	742	1483	1128	1134	802
CDRT15	8	10	5	1	13	4	6	9	4	8	6	7
ZNF844	110	118	66	77	85	73	101	61	130	101	91	85
USP17L15	17	14	11	20	1	11	18	3	16	29	13	5
CKMT1A	1872	1720	877	776	1533	984	1401	880	1611	1799	1135	1004
TINCR	1	0	1	0	2	0	0	0	1	0	0	0
CENPVL1	3	3	0	0	0	0	0	0	5	0	1	1
EBLN1	0	0	0	0	1	0	0	0	0	0	0	0
HBD	0	0	0	0	0	0	0	0	0	0	0	0
ZNF735	0	0	0	0	2	0	0	0	0	0	0	0
RFPL4A	0	0	0	1	0	0	0	0	0	0	0	0
IGHV3-64	0	0	0	0	0	0	0	0	0	0	0	0
C1GALT1C1L	181	171	108	109	95	115	135	62	103	96	102	83
CERS1	5	6	1	1	5	0	6	0	2	5	5	5
HLA-DPB1	1	0	0	0	0	0	0	0	1	0	0	0
C1QTNF5	0	0	0	0	0	0	0	0	0	0	0	0
TRDD1	0	0	0	0	0	0	0	0	0	0	0	0
IGKV3D-15	0	0	0	0	0	0	0	0	0	0	0	0
CPTP	331	330	173	207	249	236	248	184	293	239	242	190
CT47A10	0	0	0	0	0	0	0	0	0	0	0	0
LINC00633	1	6	4	1	1	2	0	0	5	1	4	5
CENPVL3	3	2	0	1	0	0	0	0	3	0	1	0
IGHV4-59	0	0	0	0	0	1	0	0	1	0	0	0
PRR29	77	56	42	28	25	39	41	16	27	30	38	22
C4B	326	382	273	226	278	248	266	183	286	241	255	166
ADM5	15	20	10	19	17	3	8	8	18	17	10	5
CXorf51A	0	0	0	0	0	0	0	0	0	0	0	0
ATXN1L	1666	1651	1202	957	1086	973	1182	712	1582	1055	1163	811
SMIM13	64	47	38	50	53	41	38	38	64	33	67	49
GPX5	0	0	0	0	1	0	0	0	0	0	0	0
IGHV3-74	4	2	3	1	4	11	6	1	1	8	3	3
GAGE12J	0	1	0	0	0	0	0	0	0	0	0	0
NPIPA3	95	86	62	55	75	64	70	33	88	62	68	45
NDUFAF8	391	371	173	279	293	203	279	213	369	238	327	295
GAGE12H	0	0	0	0	0	0	0	0	0	0	0	0
APOC4-APOC2	0	0	0	0	0	0	0	0	0	0	0	0
PRRT4	1	0	0	0	1	1	0	2	0	0	0	0
PPP4R3CP	624	612	356	382	424	415	542	246	519	402	429	327
TMEM233	160	129	99	100	116	54	81	71	121	155	95	64
LL0XNC01-16G2.1	0	0	0	0	0	0	0	0	0	0	0	1
AATK-AS1	1	1	0	1	0	1	1	0	2	2	0	0
PLEKHM1	1443	1336	943	750	999	1004	1008	650	1290	888	982	689
USP17L3	51	59	38	32	38	71	49	24	49	80	55	29
CT62	1	0	0	1	1	0	0	0	0	0	1	0
IGKV6D-21	0	0	0	0	0	0	0	0	0	0	0	1
MKRN2OS	134	107	91	88	65	76	81	49	89	60	57	42
RP3-370M22.8	0	0	1	0	2	0	0	0	1	0	0	0
C2CD4D	44	68	27	33	21	20	41	20	42	34	33	24
ZNF469	11	4	5	2	1	10	4	1	6	8	2	2
MCRIP1	327	359	219	219	199	198	239	143	299	213	218	196
SLC26A6	794	650	528	439	601	589	536	446	840	530	742	457
IGHV3-72	0	0	0	0	0	0	0	0	0	0	0	0
OR6V1	3	5	6	0	10	1	2	4	2	3	2	4
CTD-2313N18.7	25	41	11	16	20	13	19	16	12	21	14	20
IGHD6-25	0	0	0	0	0	0	0	0	0	0	0	0
FAM229A	33	38	34	16	18	22	23	15	18	18	19	12
ERCC6	1192	1279	810	778	807	839	899	474	1160	954	893	648
LINC00694	0	0	0	0	0	0	0	0	0	0	0	1
FRG2B	3	4	0	0	1	1	1	3	2	2	0	1
NOL7	810	931	599	576	642	600	702	380	918	645	622	649
CTAGE4	927	843	653	562	718	611	749	393	766	572	567	508
C5orf67	0	1	0	0	0	1	1	1	0	0	0	0
NTF4	12	5	4	4	0	2	6	5	3	2	3	2
ELFN1	19	17	11	7	1	4	17	4	10	8	6	1
PIGBOS1	23	31	25	35	28	31	32	18	33	30	26	24
OR4A8	0	0	0	0	0	0	0	0	0	0	0	0
CT47A6	0	0	0	0	0	0	0	0	0	0	0	0
FTCDNL1	57	45	29	24	32	29	47	27	48	45	34	28
TEX22	74	66	59	34	49	39	42	24	49	35	36	31
OR52I2	9	15	8	6	11	7	7	8	14	5	3	4
CROCC2	25	29	16	7	15	11	20	7	13	17	11	6
DCAF8L1	1	3	0	0	0	0	1	0	0	0	0	0
USP17L7	66	48	47	29	62	57	45	29	54	75	61	27
TMEM185B	729	731	574	506	498	487	596	411	714	559	549	402
AC138647.1	0	0	0	0	0	0	0	0	0	0	0	0
CT47A9	0	0	0	0	0	0	0	0	0	0	0	0
KIF4B	45	29	14	32	33	17	31	25	37	33	34	24
TRBV2	0	0	0	0	0	0	0	0	0	0	0	0
CT47A12	0	0	0	0	0	0	0	0	0	0	0	0
AC005281.1	11	15	11	6	7	5	5	2	4	7	1	1
RP11-397G17.1	0	0	0	0	0	0	0	0	0	0	0	0
HSBP1L1	200	170	125	134	106	127	144	89	154	133	132	121
TAS2R46	19	25	20	18	18	19	27	9	21	14	30	12
SRRM5	91	71	67	52	81	55	54	48	79	86	49	46
PGAM4	304	310	164	168	217	210	272	162	374	252	255	252
LINC00371	0	0	0	0	0	1	1	0	0	0	0	0
MROH5	28	13	6	8	16	11	11	16	7	7	8	9
ERVMER34-1	125	119	67	84	51	48	70	50	123	122	91	78
CT47A11	0	0	0	0	0	0	0	0	0	0	0	0
RBMY1J	0	0	0	0	0	0	0	0	0	0	0	0
LTA	0	0	0	0	0	0	0	0	0	0	0	0
C14orf132	50	40	28	9	27	22	26	7	25	52	21	16
WDR46	2201	2376	1541	1341	1366	1180	1639	960	2061	1526	1469	1197
ANHX	0	0	0	0	3	0	0	0	0	1	2	0
IGHD1-14	0	0	0	0	0	0	0	0	0	0	0	0
ZNF717	386	482	268	254	335	274	373	196	379	395	297	277
USP17L5	0	0	0	1	0	0	0	0	0	0	2	0
PRR20D	0	0	0	0	1	0	0	0	0	0	0	0
TRGC2	1	2	1	0	0	0	0	0	0	0	0	0
IGHD4-23	0	0	0	0	0	0	0	0	0	0	0	0
SPANXB1	2	1	2	0	1	7	0	4	1	2	0	1
KLLN	17	15	2	10	6	4	4	13	20	14	7	13
PARG	1671	1600	1108	1057	1206	1102	1397	798	1641	1168	1205	1134
AKR1B15	4	1	1	2	21	35	4	15	13	17	32	14
GAGE12D	0	0	0	0	0	0	0	0	0	0	0	0
SCAMP4	1059	985	773	756	768	827	746	559	997	871	869	557
LTB	0	0	1	1	0	4	1	2	0	0	2	1
USP17L12	5	3	4	4	2	2	5	2	5	4	2	1
RD3L	0	1	0	1	1	0	0	1	1	0	0	0
IGHD4-17	0	0	0	0	0	0	0	0	0	0	0	0
C1orf234	4	3	3	3	1	1	3	0	2	3	2	2
MRLN	0	0	0	0	0	0	0	0	0	0	0	0
POLR2J2	549	541	383	354	330	274	352	230	412	310	311	277
BOD1L2	0	0	0	0	0	0	0	0	0	0	0	0
IFNA14	0	0	0	0	0	0	0	0	0	0	0	0
IGHD6-6	0	0	0	0	0	0	0	0	0	0	0	0
RP11-745O10.4	1	0	0	0	0	0	0	0	0	0	0	0
OR2M3	0	0	0	0	0	0	0	0	0	0	0	0
MT-ATP8	152	92	174	116	174	150	165	168	175	99	97	54
ORM2	8	3	3	8	2	5	12	5	11	7	7	6
C19orf24	476	434	228	275	291	256	319	249	440	298	377	316
IGKV3D-7	0	0	0	0	0	0	0	0	1	0	0	0
TSTD3	30	38	29	36	34	38	24	12	36	27	30	34
OST4	336	332	231	241	227	230	310	129	366	222	272	202
LINC01125	21	23	8	15	13	8	17	3	11	18	8	10
CT47A7	0	0	0	0	0	0	0	0	0	0	0	0
VN1R4	0	0	0	0	0	0	0	0	0	0	0	0
FNDC10	5	8	4	6	3	9	7	8	10	8	7	4
CLDN25	0	1	0	0	0	0	0	0	0	0	0	0
ZNF883	202	252	135	154	122	132	175	90	188	156	133	118
PROB1	209	202	108	110	150	90	148	78	192	135	122	122
ARL17B	575	569	331	344	376	297	417	208	441	352	305	277
DHFR	472	408	157	329	407	207	387	296	534	357	468	404
SAPCD1	5	7	3	7	3	1	3	2	4	5	3	5
CT45A5	1361	1583	970	850	1228	810	1282	741	1620	1231	1062	1442
USP17L30	2	9	3	4	3	1	5	2	2	2	2	0
TSPY3	0	0	0	0	0	0	0	0	0	0	0	0
TRDD3	0	0	0	0	0	0	0	0	0	1	0	0
TRBV23OR9-2	0	0	0	0	0	0	0	0	0	0	0	0
RPL41	136	130	106	97	72	77	83	46	120	84	66	72
PGA4	4	5	6	2	8	0	8	6	5	5	4	2
RFPL4AL1	1	0	0	1	0	0	0	0	0	0	0	0
ORM1	6	12	5	4	10	11	24	10	16	5	6	8
SFTA3	0	2	0	0	0	0	0	0	1	0	0	0
SPINK8	2	1	1	0	0	0	0	0	1	0	0	0
PATL2	92	72	50	49	64	68	85	55	94	66	73	56
NKX1-2	0	1	0	0	0	0	1	0	0	0	1	0
TSPY8	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0	0	0	0	0
USP17L26	0	0	0	1	0	0	0	0	0	0	2	0
PRAC2	4	7	0	2	5	2	8	3	5	4	5	8
PRR20C	0	0	0	0	1	0	0	0	0	0	0	0
ZNF492	57	61	35	40	60	22	43	41	67	35	30	49
TRBV10-2	0	0	0	0	0	0	0	0	0	0	0	0
ZNF688	170	191	97	93	120	104	145	80	121	104	111	103
PET100	325	314	195	229	245	186	239	164	317	171	241	229
PGA3	3	5	4	1	7	0	8	3	5	4	3	2
GK3P	206	257	190	158	210	235	219	164	259	195	185	143
FAM90A26	0	0	0	1	1	0	0	0	0	0	0	0
PRPS1L1	166	183	93	91	98	85	133	62	151	78	112	66
IQCF3	0	0	0	0	0	0	0	0	0	0	0	0
POTEB2	1	0	0	0	0	0	0	0	0	0	0	0
RP11-402G3.5	5	2	1	0	2	0	1	3	2	3	3	0
ANKRD66	0	0	1	0	0	1	2	0	0	0	0	7
TRBV5-4	0	0	0	0	0	0	0	0	0	0	0	0
ACBD6	705	757	421	459	493	409	454	316	602	423	462	377
OR4F3	25	20	12	11	35	11	19	11	23	18	17	11
NFE4	1	1	0	0	1	0	0	0	0	0	1	0
SSU72P8	0	0	0	1	0	0	0	0	0	0	0	0
OR5H6	0	0	0	0	0	0	0	0	0	0	0	0
CT47A8	0	0	0	0	0	0	0	0	0	0	0	0
USP17L25	0	0	0	1	0	0	0	0	0	0	0	0
ANKRD18B	872	816	365	565	626	362	586	374	859	682	616	574
PPP5D1	15	11	3	4	7	4	6	5	3	3	5	2
MBD3L2	0	0	0	0	0	1	0	0	0	0	0	1
USP17L1	69	63	60	40	51	83	68	26	77	114	69	45
CCDC192	11	30	13	17	11	13	23	9	12	12	18	8
CT47A4	0	0	0	0	0	0	0	0	0	0	0	0
RP11-402G3.3	0	0	2	0	0	3	0	0	0	0	0	0
RP11-286H14.4	42	33	23	25	21	28	28	19	37	27	37	28
PRB4	3	2	4	1	7	0	0	1	3	4	2	0
SETSIP	12	17	3	9	7	8	9	6	8	12	13	9
ANKRD63	0	1	0	2	0	0	0	0	0	0	0	0
YY2	31	29	23	23	18	20	35	10	23	21	18	19
STMND1	0	0	0	0	0	0	1	1	1	0	0	0
HSBP1	1196	1326	866	825	1146	808	1120	707	1382	1058	1032	961
USP17L28	0	0	0	0	0	0	0	0	0	0	2	0
